transaction_id,user_id,amount,merchant,location,device_id,timestamp,hour,previous_transactions,is_new_device,distance_from_previous,is_night,is_high_amount,is_large_distance,is_low_history,is_fraud
TXN000001,USER01127,299.25,Netflix,Mumbai,DEVICE_A,2026-11-16 15:45:00,15,0,0,7.96,0,0,0,1,0
TXN000002,USER01460,5593.88,Walmart,Delhi,DEVICE_E,2026-01-14 03:19:00,3,19,1,18.2,1,0,0,0,0
TXN000003,USER00861,316.1,Paytm,Hyderabad,DEVICE_E,2026-03-04 13:38:00,13,27,0,25.14,0,0,0,0,0
TXN000004,USER01295,618.31,Swiggy,Ahmedabad,DEVICE_E,2026-05-27 23:57:00,23,30,0,28.16,0,0,0,0,0
TXN000005,USER01131,1076.71,Uber,Ahmedabad,DEVICE_A,2026-12-22 12:51:00,12,23,0,10.07,0,0,0,0,0
TXN000006,USER01096,168.32,Amazon,Ahmedabad,DEVICE_C,2026-01-31 16:40:00,16,44,0,45.81,0,0,0,0,0
TXN000007,USER01725,2223.55,Zomato,Hyderabad,DEVICE_A,2026-07-26 11:07:00,11,6,1,56.87,0,0,0,0,0
TXN000008,USER01045,583.68,Flipkart,Bangalore,DEVICE_E,2026-11-07 13:49:00,13,1,0,4.36,0,0,0,1,0
TXN000009,USER01639,437.84,Netflix,Hyderabad,DEVICE_C,2026-07-27 01:55:00,1,8,0,48.44,1,0,0,0,1
TXN000010,USER00122,2519.84,Myntra,Chennai,DEVICE_C,2026-09-17 15:51:00,15,18,0,24.94,0,0,0,0,0
TXN000011,USER00467,329.55,Zomato,Mumbai,DEVICE_B,2026-11-05 12:36:00,12,40,1,43.81,0,0,0,0,0
TXN000012,USER01239,1640.69,Flipkart,Mumbai,DEVICE_D,2026-08-24 00:49:00,0,48,0,11.06,1,0,0,0,0
TXN000013,USER00331,1120.13,Myntra,Chennai,DEVICE_E,2026-12-23 19:04:00,19,24,0,21.65,0,0,0,0,0
TXN000014,USER01483,1154.66,Netflix,Kolkata,DEVICE_D,2026-01-18 11:56:00,11,22,0,5.37,0,0,0,0,0
TXN000015,USER00088,1042.36,Paytm,Hyderabad,DEVICE_B,2026-01-29 02:14:00,2,49,0,27.81,1,0,0,0,0
TXN000016,USER01397,1231.2,Uber,Pune,DEVICE_D,2026-07-06 04:15:00,4,9,0,17.43,1,0,0,0,0
TXN000017,USER01124,141.26,Walmart,Delhi,DEVICE_E,2026-05-14 08:27:00,8,22,0,13.11,0,0,0,0,0
TXN000018,USER00872,499.29,Walmart,Ahmedabad,DEVICE_B,2026-01-19 02:49:00,2,32,0,23.6,1,0,0,0,0
TXN000019,USER01688,482.06,Paytm,Hyderabad,DEVICE_D,2026-09-09 22:21:00,22,42,0,16.07,0,0,0,0,0
TXN000020,USER00131,2971.32,Zomato,Mumbai,DEVICE_A,2026-06-22 12:04:00,12,18,0,28.99,0,0,0,0,0
TXN000021,USER01686,1264.91,Paytm,Delhi,DEVICE_C,2026-12-06 09:39:00,9,33,1,39.1,0,0,0,0,0
TXN000022,USER01333,1107.89,Paytm,Pune,DEVICE_B,2026-06-04 12:05:00,12,36,0,32.25,0,0,0,0,0
